7, -4, -9, 5
-3, 6, 10, 0

2, -5, 4, 9
9, -1, -4, -3
7, -4, -9, 5
5, -1, -2, 3
3, -6, 1, 2
-8, -5, 8, -10
-5, 1, 4, 7
7, 9, 5, -10
-8, 0, 6, -5
-7, 6, -3, -3
-6, 10, 10, -7
-4, 3, -1, 5
3, 8, 7, -1
4, 3, -4, 2
-2, -2, 1, 6
0, -1, 5, 8
-4, -10, 6, 6
5, 6, 9, -9
7, -2, -10, 3
7, 1, 6, -9
-3, 10, -4, 3
1, -8, -1, 6
-9, 3, 3, 9
3, -7, -6, 2
8, 8, 2, 3
-7, 5, -5, -8
-7, -2, -2, 9
10, 10, 3, 1
7, 8, -2, 5
4, -7, 5, 10
8, -6, 5, -9
-5, -3, -9, -8
-3, 6, 10, 0
-4, -6, 4, -8
-1, 8, -7, 5
-1, 8, -4, 7
4, 9, -2, -6
7, -7, 7, 4
9, 5, 7, 6
-6, -8, -8, -4
1, 0, 7, 4
-1, 5, -9, 4
-6, 6, 2, -1
1, -2, -3, -6
10, -10, 3, 2
9, 6, 5, -3
9, -5, -7, 3
-9, -9, 8, 4
5, 5, 4, -4
4, -1, -9, -7
